,cluster,x,y
76,2,-34.211914,45.795067
77,-1,-61.03696,18.29516
78,-1,10.570203,-9.601196
79,-1,-54.180702,-37.48557
80,1,5.612192,-43.371895
81,3,41.64215,24.279922
82,-1,-44.55395,53.488476
83,0,73.183075,-0.19164933
84,2,-10.572326,57.092712
85,3,-9.535252,16.821905
86,3,0.99923414,39.430084
87,-1,-50.879738,-59.80466
88,-1,43.33949,-10.222674
89,0,59.588867,-4.8935494
90,2,-2.2560692,63.314808
91,1,-17.551188,-49.60502
92,-1,37.760384,19.129774
93,3,51.391342,45.284325
94,-1,-84.05443,0.18075559
95,1,-24.216286,-27.625742
96,0,32.357933,-70.6408
97,-1,79.32702,-2.0629282
98,1,-21.553608,-5.8378634
99,0,25.591896,-75.60543
100,1,-0.3601316,-52.210636
101,1,-31.341095,10.482243
102,-1,35.51302,-55.858913
103,1,-32.595745,11.228802
104,0,64.729065,-25.795065
105,1,-70.90823,19.219442
106,-1,18.158407,53.865604
107,2,-39.942875,55.544388
108,-1,-59.6872,-35.41324
109,1,-3.7161307,-11.294803
110,1,-10.054966,-7.855066
111,-1,15.586123,55.58601
112,1,-44.15157,-7.5961924
113,1,-37.49341,9.866776
114,2,-9.912842,73.9715
115,-1,-30.2039,-33.439117
116,-1,-40.47567,40.599533
117,2,-37.821358,46.80433
118,1,-38.2067,-20.050133
119,1,-31.7528,10.726368
120,3,58.064888,45.582924
121,-1,-0.6431952,2.975155
122,-1,-22.590458,-23.69481
123,-1,45.237976,-9.516317
124,1,-44.407227,-13.530315
125,1,-46.24663,5.3243594
126,-1,-59.80374,-39.506428
127,1,7.347748,-48.361996
128,-1,64.76495,-33.684696
129,-1,7.029753,-80.130356
130,1,-3.6887689,-37.138214
131,1,-3.392837,-27.479351
132,-1,-58.668438,-31.487404
133,2,-25.47694,54.024147
134,2,-1.6368921,73.84973
135,0,38.906662,-62.021557
136,1,-29.735128,18.004425
137,3,36.045467,9.063049
138,-1,14.701168,30.689274
139,-1,-51.250343,-1.8675358
140,2,-46.178177,50.27459
141,2,-20.75702,59.85225
142,-1,47.55855,47.690605
143,3,23.338854,18.616116
144,3,-11.385215,11.073752
145,-1,32.585545,32.295185
146,-1,-50.444984,-3.2859473
147,-1,-64.148476,-40.452393
148,-1,7.20299,-83.05491
149,-1,71.30715,39.8525
150,-1,-75.446,-23.606277
151,-1,12.753824,10.467661
152,-1,-3.9852865,33.301823
153,0,68.04896,-26.946033
154,3,61.96988,50.987682
155,-1,-38.93505,-69.9803
156,-1,-38.85642,-21.09221
157,-1,-54.34676,-57.552044
158,1,-44.77232,-1.3740342
159,2,-40.667484,46.602753
160,3,2.7680724,7.603116
161,1,0.439901,-41.934372
162,-1,22.253906,-19.283056
163,0,36.940434,-58.910267
164,0,42.925304,-50.31619
165,-1,-17.4904,-1.0886803
166,1,4.5114846,-34.52399
167,2,-41.277893,44.853947
168,0,68.46543,1.8111662
169,-1,-12.027354,-69.28953
